Customer_ID,Recency,Frequency,Monetary,Avg_Order_Value,Session_Count,Avg_Session_Duration,Pages_Viewed,Clicks,Campaign_Response,Wishlist_Adds,Cart_Abandon_Rate,Returns,Customer_ID_Encoded,Segment_Copper,Segment_Gold,Segment_Iron,Segment_Platinum,Segment_Silver
CUST00001,51.0,13.0,1560.0,113.0,56.0,14.76624160508629,33.0,828.0,1.0,28.0,17.629488785115612,8.0,0,False,False,False,False,True
CUST00002,124.5,5.0,3.0,26.0,7.0,5.409043699457566,2.0,60.0,0.0,4.0,23.02421591417256,9.0,1,False,False,True,False,False
CUST00003,55.0,15.0,235.0,57.0,37.0,5.082231313888915,11.0,710.0,1.0,17.0,28.391939093848286,16.0,2,True,False,False,False,False
CUST00004,46.0,11.0,1293.0,191.0,48.0,18.93648649090481,20.0,1223.0,0.0,17.0,15.192267441895275,0.0,3,False,False,False,False,True
CUST00005,21.0,30.0,3602.0,239.0,90.0,26.461395003194724,37.0,1892.0,0.0,57.0,11.427460460752794,8.0,4,False,True,False,False,False
CUST00006,25.0,42.0,4515.0,282.0,114.0,21.14771509677525,53.0,2187.0,1.0,63.0,14.147539013379598,4.0,5,False,True,False,False,False
CUST00007,9.0,67.0,6659.625,371.5,152.0,32.170692865544765,76.0,3117.375,1.0,65.0,6.812092578215489,4.0,6,False,False,False,True,False
CUST00008,79.0,1.0,98.0,28.0,12.0,8.266338458132406,6.0,55.0,0.0,2.0,28.22408501575815,3.0,7,False,False,True,False,False
CUST00009,63.0,15.0,362.0,52.0,24.0,14.784944646717909,19.0,535.0,0.0,19.0,25.784887130970915,13.0,8,True,False,False,False,False
CUST00010,83.0,18.0,489.0,67.0,29.0,12.57295572071193,26.0,407.0,0.0,8.0,20.220452290623797,11.0,9,True,False,False,False,False
CUST00011,9.0,76.0,6659.625,371.5,154.5,28.3252199872015,66.0,3117.375,1.0,67.0,9.72095993212311,1.0,10,False,False,False,True,False
CUST00012,124.5,6.0,56.0,29.0,14.0,3.3508015414652164,9.0,212.0,0.0,0.0,33.8747063121678,12.0,11,False,False,True,False,False
